ROUTEID,ROUTENAME,ROADTYPE,SUBBLOCKKEY,BIKELANE_PARKINGLANE_ADJACENT,BIKELANE_THROUGHLANE_ADJACENT,BIKELANE_POCKETLANE_ADJACENT,BIKELANE_CONTRAFLOW,BIKELANE_CONVENTIONAL,BIKELANE_DUAL_PROTECTED,BIKELANE_DUAL_BUFFERED,BIKELANE_PROTECTED,BIKELANE_BUFFERED,SUBBLOCKID,BLOCKID,BLOCKKEY,QUADRANT,STREETNAME,STREETTYPE,TOTALBIKELANES,TOTALBIKELANEWIDTH,WARD_ID,SMD_ID,ANC_ID,OBJECTID,SHAPELEN
12001102,11TH ST NE,1,47f97827e4f880a4fbfe0fbac31bc50c,IB,IB,,,IB,,,,,12001102-12001102_42090632-12001102_47089852,12001102-12001102_12031912_12059602-12001102_12025352,4ba057beb84c773708abfa5a5dc00b59,2,11TH,ST,1,5,6,6A04,6A,7994580,0
12001302,13TH ST NE,1,7a144c5dd540043352eae1a02f689922,,IB,,,IB,,,,,12001302-12001302_12031912-12001302_12065392,12001302-12001302_12031912-12001302_12065392,7a144c5dd540043352eae1a02f689922,2,13TH,ST,1,5,6,6A04,6A,7994647,0
12001402,14TH ST NE,1,487341091cd17b03d871c329b12c91cb,IB,IB,,,IB,,,,,12001402-12001402_47044762-12001402_12038612,12001402-12001402_12034382-12001402_12038612,c117aa5c1a12759e4e1bec02eff8c90f,2,14TH,ST,1,5,6,6A06,6A,7994657,0
12001402,14TH ST NE,1,2e81fbe515d27c34d0bac3bc35e43603,IB,IB,,,IB,,,,,12001402-12001402_12025352_36003352-12001402_12019822,12001402-12001402_12025352_36003352-12001402_12019822,2e81fbe515d27c34d0bac3bc35e43603,2,14TH,ST,1,5,6,6A05,6A,7994659,0
12001402,14TH ST NE,1,24714d307633aa409171613c0b2036cd,IB,IB,,,IB,,,,,12001402-12001402_12010202-12001402_12065392,12001402-12001402_12010202-12001402_12065392,24714d307633aa409171613c0b2036cd,2,14TH,ST,1,5,6,6A04,6A,7994660,0
12001402,14TH ST NE,1,0adfec57c0d3476118a175c12fb988f0,IB,IB,,,IB,,,,,12001402-12001402_47030692-12001402_12033342,12001402-12001402_12031332-12001402_12033342,c4267a00cf3154d93a8e8e27ea7ec744,2,14TH,ST,1,5,6,6A06,6A,7994661,0
12001402,14TH ST NE,1,bf6dc35c15cd43882510c310dcc11683,IB,IB,,,IB,,,,,12001402-12001402_12059472-12001402_47046822,12001402-12001402_12059472-12001402_12042442,f52f8afa5be47675e93ee663a8117b0a,2,14TH,ST,1,5,6,6A06,6A,7994673,0
12001302,13TH ST NE,1,c35b84754877f0249504e72b633593b4,IB,IB,,,IB,,,,,12001302-12001302_47030832_47055212-12001302_36000822_47018732,12001302-12001302_12065392-12001302_12025352_12085212,a7bfeee7c951035d1f898941a7d75221,2,13TH,ST,1,5,6,6A04,6A,7994697,0
12001302,13TH ST NE,1,fc7a3ea8617a7dd455e64ec99349824f,IB,IB,,,IB,,,,,12001302-12001302_12065392-12001302_47030832_47055212,12001302-12001302_12065392-12001302_12025352_12085212,a7bfeee7c951035d1f898941a7d75221,2,13TH,ST,1,5,6,6A04,6A,7994714,0
12001302,13TH ST NE,1,2442ea969552a5c9fe23e5a66b8e4466,,OB,OB,,OB,,,,,12001302-12001302_13001302_15031912-12001302_12031912,12001302-12001302_13001302_15031912-12001302_12031912,2442ea969552a5c9fe23e5a66b8e4466,2,13TH,ST,1,5,6,6A04,6A,7994721,0
12001302,13TH ST NE,1,2dc66cf62068a95d5c726a5d726f67b5,IB,IB,,,IB,,,,,12001302-12001302_36000822_47018732-12001302_12025352_12085212,12001302-12001302_12065392-12001302_12025352_12085212,a7bfeee7c951035d1f898941a7d75221,2,13TH,ST,1,5,6,6A04,6A,7994729,0
12001502,15TH ST NE,1,a67268a068a88d4d9d8a0d38b4c02959,IB,IB,,,IB,,,,,12001502-12001502_12019822-12001502_47082862,12001502-12001502_12019822-12001502_12026912,7808e12d5b8028293bcc566fda74854e,2,15TH,ST,1,5,6,6A05,6A,7994749,0
12001502,15TH ST NE,1,69230d35b633eaa1887372775e50f921,IB,IB,,,IB,,,,,12001502-12001502_47055952-12001502_47057382,12001502-12001502_12034382-12001502*1_12034382,f0032ec2c0611802c04b9a890e9fd1cb,2,15TH,ST,1,5,6,6A06,6A,7994753,0
12001502,15TH ST NE,1,a56ba875affae6548d4ce9e95fc530b2,IB,IB,,,IB,,,,,12001502-12001502_47079082-12001502_12031332,12001502-12001502_12048882-12001502_12031332,d15a85d827213f2aa25a61db10f29301,2,15TH,ST,1,5,6,6A05,6A,7994754,0
12001502,15TH ST NE,1,6240b7a5498a97084c0794d39edb76e2,IB,IB,,,IB,,,,,12001502-12001502_47044712-12001502_12026912,12001502-12001502_12019822-12001502_12026912,7808e12d5b8028293bcc566fda74854e,2,15TH,ST,1,5,6,6A05,6A,7994758,0
12001502,15TH ST NE,1,7a0a76b244d501518aba6444babeb954,IB,IB,,,IB,,,,,12001502-12001502_12048882-12001502_47079082,12001502-12001502_12048882-12001502_12031332,d15a85d827213f2aa25a61db10f29301,2,15TH,ST,1,5,6,6A05,6A,7994759,0
12001502,15TH ST NE,1,d77cfe4c75b550c90dd4e29da415aede,IB,IB,,,IB,,,,,12001502-12001502_12010202_47081052-12001502_12025352,12001502-12001502_12010202_47081052-12001502_12025352,d77cfe4c75b550c90dd4e29da415aede,2,15TH,ST,1,5,6,6A04,6A,7994761,0
